source_analysis_id,source_id,candidate_id,topic_id,substantive_summary,policy_positions,ideology_signals,chronology_summary,evidence_state,source_ids,claim_ids
source-analysis-src-20260418-gustavo-profile,src-20260418-gustavo-profile,gustavo-matamoros,trayectoria-publica,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública. En términos sustantivos, registra: RTVC describe a Gustavo Matamoros desde su carrera militar. | General retirado; centra su campaña en seguridad y presencia institucional. | General retirado; centra su campaña en seguridad y presencia institucional.",RTVC describe a Gustavo Matamoros desde su carrera militar. | General retirado; centra su campaña en seguridad y presencia institucional. | General retirado; centra su campaña en seguridad y presencia institucional,"seguridad, justicia y paz",General retirado; centra su campaña en seguridad y presencia institucional,trazable_con_cautela,src-20260418-gustavo-profile,claim-20260418-gustavo-bio|src-20260418-gustavo-profile-claim-1|src-20260418-gustavo-profile-claim-2
source-analysis-src-20260418-ivan-anticorrup,src-20260418-ivan-anticorrup,ivan-cepeda,anticorrupcion|trayectoria-publica,"La fuente Pacto Histórico aporta evidencia sobre Anticorrupción y transparencia, Trayectoria pública. En términos sustantivos, registra: La campaña de Cepeda anuncia una Ley Nacional contra la corrupción..",La campaña de Cepeda anuncia una Ley Nacional contra la corrupción.,"La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.",La campaña de Cepeda anuncia una Ley Nacional contra la corrupción.,trazable_con_cautela,src-20260418-ivan-anticorrup,claim-20260418-ivan-anticorrupcion|src-20260418-ivan-anticorrup-claim-1|src-20260418-ivan-anticorrup-claim-2
source-analysis-src-20260418-ivan-economia,src-20260418-ivan-economia,ivan-cepeda,fiscal|transicion-energetica,"La fuente Infobae aporta evidencia sobre Fiscal, Transición energética. En términos sustantivos, registra: Continuidad macroeconómica con responsabilidad fiscal y transición energética. | Cepeda plantea una transición energética concertada con actores productivos y sociales. | Infobae reporta que Cepeda promete continuidad macroeconómica frente al gobierno Petro..",Continuidad macroeconómica con responsabilidad fiscal y transición energética. | Cepeda plantea una transición energética concertada con actores productivos y sociales. | Infobae reporta que Cepeda promete continuidad macroeconómica frente al gobierno Petro.,relación Estado-mercado,Continuidad macroeconómica con responsabilidad fiscal y transición energética.,trazable_con_cautela,src-20260418-ivan-economia,claim-20260418-ivan-economia|claim-20260418-ivan-transicion|src-20260418-ivan-economia-claim-1
source-analysis-src-20260418-ivan-profile,src-20260418-ivan-profile,ivan-cepeda,trayectoria-publica|defensa,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública, Defensa y soberanía. En términos sustantivos, registra: RTVC ubica a Iván Cepeda como senador y defensor de derechos humanos. | Senador y filósofo; la defensa de derechos humanos marcó su trayectoria..",RTVC ubica a Iván Cepeda como senador y defensor de derechos humanos. | Senador y filósofo; la defensa de derechos humanos marcó su trayectoria.,"seguridad, justicia y paz",RTVC ubica a Iván Cepeda como senador y defensor de derechos humanos.,trazable_con_cautela,src-20260418-ivan-profile,claim-20260418-ivan-bio|src-20260418-ivan-profile-claim-1
source-analysis-src-20260418-ivan-program-home,src-20260418-ivan-program-home,ivan-cepeda,paz|justicia,"La fuente Pacto Histórico aporta evidencia sobre Paz y conflicto armado, Justicia e instituciones penales. En términos sustantivos, registra: Programa para profundizar justicia social y paz total. | La página oficial de campaña presenta la profundización de la paz total como parte central del programa..",Programa para profundizar justicia social y paz total. | La página oficial de campaña presenta la profundización de la paz total como parte central del programa.,"seguridad, justicia y paz",Programa para profundizar justicia social y paz total.,trazable_con_cautela,src-20260418-ivan-program-home,claim-20260418-ivan-paz-total|src-20260418-ivan-program-home-claim-1
source-analysis-src-20260418-ivan-tunja,src-20260418-ivan-tunja,ivan-cepeda,tierras|transporte|transicion-energetica,"La fuente Pacto Histórico aporta evidencia sobre Tierras y desarrollo rural, Transporte e infraestructura, Transición energética. En términos sustantivos, registra: La agenda en Boyacá incluye tierra para los campesinos. | La campaña en Tunja incluye transporte férreo para Boyacá..",La agenda en Boyacá incluye tierra para los campesinos. | La campaña en Tunja incluye transporte férreo para Boyacá.,"La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.",La agenda en Boyacá incluye tierra para los campesinos.,trazable_con_cautela,src-20260418-ivan-tunja,claim-20260418-ivan-tierras|claim-20260418-ivan-tren|src-20260418-ivan-tunja-claim-1
source-analysis-src-20260418-mauricio-caracol,src-20260418-mauricio-caracol,mauricio-lizcano,seguridad-ciudadana|trayectoria-publica,"La fuente Noticias Caracol aporta evidencia sobre Seguridad ciudadana, Trayectoria pública. En términos sustantivos, registra: Seguridad con ministro activo, bloques élite y tecnología en taxis. | Noticias Caracol recoge una agenda de seguridad fuertemente tecnificada..","Seguridad con ministro activo, bloques élite y tecnología en taxis. | Noticias Caracol recoge una agenda de seguridad fuertemente tecnificada.","seguridad, justicia y paz","Seguridad con ministro activo, bloques élite y tecnología en taxis.",trazable_con_cautela,src-20260418-mauricio-caracol,claim-20260418-mauricio-seguridad|src-20260418-mauricio-caracol-claim-1|src-20260418-mauricio-caracol-claim-2
source-analysis-src-20260418-mauricio-espectador,src-20260418-mauricio-espectador,mauricio-lizcano,productividad,"La fuente EL ESPECTADOR aporta evidencia sobre Productividad y crecimiento. En términos sustantivos, registra: El Espectador reporta que Lizcano quiere duplicar el ingreso per cápita..",El Espectador reporta que Lizcano quiere duplicar el ingreso per cápita.,"seguridad, justicia y paz",El Espectador reporta que Lizcano quiere duplicar el ingreso per cápita.,trazable_con_cautela,src-20260418-mauricio-espectador,claim-20260418-mauricio-ingresos|src-20260418-mauricio-espectador-claim-1|src-20260418-mauricio-espectador-claim-2
source-analysis-src-20260418-mauricio-profile,src-20260418-mauricio-profile,mauricio-lizcano,redes-poder|trayectoria-publica,"La fuente RTVC Noticias aporta evidencia sobre Redes políticas y familiares, Trayectoria pública. En términos sustantivos, registra: RTVC ubica a Mauricio Lizcano en una trayectoria de gobierno y origen político familiar. | Exministro TIC y exdirector del DAPRE; hijo del excongresista Óscar Tulio Lizcano. | Exministro TIC y exdirector del DAPRE; hijo del excongresista Óscar Tulio Lizcano.",RTVC ubica a Mauricio Lizcano en una trayectoria de gobierno y origen político familiar. | Exministro TIC y exdirector del DAPRE; hijo del excongresista Óscar Tulio Lizcano. | Exministro TIC y exdirector del DAPRE; hijo del excongresista Óscar Tulio Lizcano,derechos y agenda social,Exministro TIC y exdirector del DAPRE; hijo del excongresista Óscar Tulio Lizcano,trazable_con_cautela,src-20260418-mauricio-profile,claim-20260418-mauricio-bio|src-20260418-mauricio-profile-claim-1|src-20260418-mauricio-profile-claim-2
source-analysis-src-20260418-miguel-profile,src-20260418-miguel-profile,miguel-uribe,trayectoria-publica,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública. En términos sustantivos, registra: RTVC presenta a Miguel Uribe Londoño desde su perfil académico y docente. | Economista, abogado, periodista y docente; compite desde la centroderecha. | Economista, abogado, periodista y docente; compite desde la centroderecha.","RTVC presenta a Miguel Uribe Londoño desde su perfil académico y docente. | Economista, abogado, periodista y docente; compite desde la centroderecha. | Economista, abogado, periodista y docente; compite desde la centroderecha","La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.","Economista, abogado, periodista y docente; compite desde la centroderecha",trazable_con_cautela,src-20260418-miguel-profile,claim-20260418-miguel-bio|src-20260418-miguel-profile-claim-1|src-20260418-miguel-profile-claim-2
source-analysis-src-20260418-murillo-elpais,src-20260418-murillo-elpais,luis-gilberto-murillo,desigualdad|educacion,"La fuente El País Cali aporta evidencia sobre Desigualdad y movilidad, Educación. En términos sustantivos, registra: El País Cali registra que Murillo pone las regiones olvidadas en el centro..",El País Cali registra que Murillo pone las regiones olvidadas en el centro.,"La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.",El País Cali registra que Murillo pone las regiones olvidadas en el centro.,trazable_con_cautela,src-20260418-murillo-elpais,claim-20260418-murillo-regiones|src-20260418-murillo-elpais-claim-1
source-analysis-src-20260418-murillo-espectador,src-20260418-murillo-espectador,luis-gilberto-murillo,educacion-superior|seguridad-ciudadana|relaciones-exteriores|productividad|educacion,"La fuente EL ESPECTADOR aporta evidencia sobre Educación superior, Seguridad ciudadana, Relaciones exteriores, Productividad y crecimiento, Educación. En términos sustantivos, registra: Murillo enfatiza la relación empresa-Estado-comunidades para el desarrollo. | Murillo plantea la educación como mecanismo para no desperdiciar talento. | Murillo propone una respuesta territorializada a la seguridad. | Murillo vincula infraestructura y comercio exterior como eje económico..",Murillo enfatiza la relación empresa-Estado-comunidades para el desarrollo. | Murillo plantea la educación como mecanismo para no desperdiciar talento. | Murillo propone una respuesta territorializada a la seguridad. | Murillo vincula infraestructura y comercio exterior como eje económico.,"rol económico del Estado, relación Estado-mercado, seguridad, justicia y paz",Murillo plantea la educación como mecanismo para no desperdiciar talento.,trazable_con_cautela,src-20260418-murillo-espectador,claim-20260418-murillo-educacion|claim-20260418-murillo-seguridad|claim-20260418-murillo-puertos|claim-20260418-murillo-alianza|src-20260418-murillo-espectador-claim-1
source-analysis-src-20260418-murillo-profile,src-20260418-murillo-profile,luis-gilberto-murillo,trayectoria-publica,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública. En términos sustantivos, registra: RTVC resume la trayectoria diplomática y regional de Luis Gilberto Murillo. | Excanciller y exgobernador; desarrollo sostenible e inclusión regional marcan su trayectoria. | Excanciller y exgobernador; desarrollo sostenible e inclusión regional marcan su trayectoria.",RTVC resume la trayectoria diplomática y regional de Luis Gilberto Murillo. | Excanciller y exgobernador; desarrollo sostenible e inclusión regional marcan su trayectoria. | Excanciller y exgobernador; desarrollo sostenible e inclusión regional marcan su trayectoria,"rol económico del Estado, ambiente y modelo productivo",Excanciller y exgobernador; desarrollo sostenible e inclusión regional marcan su trayectoria,trazable_con_cautela,src-20260418-murillo-profile,claim-20260418-murillo-bio|src-20260418-murillo-profile-claim-1|src-20260418-murillo-profile-claim-2
source-analysis-src-20260418-paloma-elpais,src-20260418-paloma-elpais,paloma-valencia,defensa|salud|justicia,"La fuente EL PAÍS aporta evidencia sobre Defensa y soberanía, Salud, Justicia e instituciones penales. En términos sustantivos, registra: Plan 10 con seguridad, salud, energía y justicia rápida. | EL PAÍS reporta un salto cuantitativo en gasto y pie de fuerza propuesto por Valencia. | El Plan 10 de Valencia plantea un choque inicial sobre la crisis del sistema de salud. | La campaña de Valencia propone una expansión punitiva con componente productivo..","Plan 10 con seguridad, salud, energía y justicia rápida. | EL PAÍS reporta un salto cuantitativo en gasto y pie de fuerza propuesto por Valencia. | El Plan 10 de Valencia plantea un choque inicial sobre la crisis del sistema de salud. | La campaña de Valencia propone una expansión punitiva con componente productivo.","seguridad, justicia y paz","Plan 10 con seguridad, salud, energía y justicia rápida.",trazable_con_cautela,src-20260418-paloma-elpais,claim-20260418-paloma-seguridad|claim-20260418-paloma-salud|claim-20260418-paloma-carceles|src-20260418-paloma-elpais-claim-1
source-analysis-src-20260418-paloma-eltiempo,src-20260418-paloma-eltiempo,paloma-valencia,transicion-energetica|transporte|educacion-basica|emprendimiento|vivienda,"La fuente EL TIEMPO aporta evidencia sobre Transición energética, Transporte e infraestructura, Educación básica, Emprendimiento y empresa, Vivienda. En términos sustantivos, registra: El Tiempo reporta que Valencia propone financiar elección de colegio con recursos públicos. | El programa de Valencia incluye vivienda progresiva. | La agenda de Paloma Valencia incluye infraestructura rural concreta. | La propuesta económica de Paloma Valencia pasa por simplificar carga regulatoria. | El Tiempo resume que Paloma Valencia impulsa una revolución energética multisource..",El Tiempo reporta que Valencia propone financiar elección de colegio con recursos públicos. | El programa de Valencia incluye vivienda progresiva. | La agenda de Paloma Valencia incluye infraestructura rural concreta. | La propuesta económica de Paloma Valencia pasa por simplificar carga regulatoria. | El Tiempo resume que Paloma Valencia impulsa una revolución energética multisource.,"rol económico del Estado, derechos y agenda social",La agenda de Paloma Valencia incluye infraestructura rural concreta.,trazable_con_cautela,src-20260418-paloma-eltiempo,claim-20260418-paloma-energia|claim-20260418-paloma-vias|claim-20260418-paloma-educacion|claim-20260418-paloma-formalizacion|claim-20260418-paloma-vivienda|src-20260418-paloma-eltiempo-claim-1
source-analysis-src-20260418-paloma-official,src-20260418-paloma-official,paloma-valencia,vida-publica,"La fuente Paloma Valencia aporta evidencia sobre Vida pública y trayectoria. En términos sustantivos, registra: Programa Integrado de Gobierno publicado por la campaña | Programa Integrado de Gobierno publicado por la campaña..",Programa Integrado de Gobierno publicado por la campaña | Programa Integrado de Gobierno publicado por la campaña.,"La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.",Programa Integrado de Gobierno publicado por la campaña.,trazable_con_cautela,src-20260418-paloma-official,src-20260418-paloma-official-claim-1|src-20260418-paloma-official-claim-2
source-analysis-src-20260418-paloma-profile,src-20260418-paloma-profile,paloma-valencia,redes-poder|educacion-superior,"La fuente RTVC Noticias aporta evidencia sobre Redes políticas y familiares, Educación superior. En términos sustantivos, registra: RTVC resalta el peso político y familiar de Paloma Valencia. | Senadora del Centro Democrático y nieta del expresidente Guillermo León Valencia. | Senadora del Centro Democrático y nieta del expresidente Guillermo León Valencia.",RTVC resalta el peso político y familiar de Paloma Valencia. | Senadora del Centro Democrático y nieta del expresidente Guillermo León Valencia. | Senadora del Centro Democrático y nieta del expresidente Guillermo León Valencia,derechos y agenda social,Senadora del Centro Democrático y nieta del expresidente Guillermo León Valencia,trazable_con_cautela,src-20260418-paloma-profile,claim-20260418-paloma-bio|src-20260418-paloma-profile-claim-1|src-20260418-paloma-profile-claim-2
source-analysis-src-20260418-raul-profile,src-20260418-raul-profile,raul-botero,trayectoria-publica|productividad,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública, Productividad y crecimiento. En términos sustantivos, registra: RTVC perfila a Santiago Botero como empresario financiero independiente. | Empresario y fundador de Fin Social; se presenta como opción independiente. | Empresario y fundador de Fin Social; se presenta como opción independiente.",RTVC perfila a Santiago Botero como empresario financiero independiente. | Empresario y fundador de Fin Social; se presenta como opción independiente. | Empresario y fundador de Fin Social; se presenta como opción independiente,relación Estado-mercado,Empresario y fundador de Fin Social; se presenta como opción independiente,trazable_con_cautela,src-20260418-raul-profile,claim-20260418-raul-bio|src-20260418-raul-profile-claim-1|src-20260418-raul-profile-claim-2
source-analysis-src-20260418-roy-efe,src-20260418-roy-efe,roy-barreras,productividad|paz|justicia,"La fuente EFE aporta evidencia sobre Productividad y crecimiento, Paz y conflicto armado, Justicia e instituciones penales. En términos sustantivos, registra: EFE recoge que Roy Barreras quiere reactivar la producción para financiar la agenda social. | Roy Barreras ofrece una política de paz menos abierta y más judicializada..",EFE recoge que Roy Barreras quiere reactivar la producción para financiar la agenda social. | Roy Barreras ofrece una política de paz menos abierta y más judicializada.,"relación Estado-mercado, seguridad, justicia y paz",EFE recoge que Roy Barreras quiere reactivar la producción para financiar la agenda social.,trazable_con_cautela,src-20260418-roy-efe,claim-20260418-roy-productividad|claim-20260418-roy-paz|src-20260418-roy-efe-claim-1
source-analysis-src-20260418-roy-profile,src-20260418-roy-profile,roy-barreras,trayectoria-publica|salud,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública, Salud. En términos sustantivos, registra: Exsenador con roles clave en paz, salud y reformas institucionales..","Exsenador con roles clave en paz, salud y reformas institucionales.","seguridad, justicia y paz","Exsenador con roles clave en paz, salud y reformas institucionales.",trazable_con_cautela,src-20260418-roy-profile,claim-20260418-roy-bio|src-20260418-roy-profile-claim-1
source-analysis-src-20260418-santiago-caracol,src-20260418-santiago-caracol,raul-botero,justicia|defensa,"La fuente Noticias Caracol aporta evidencia sobre Justicia e instituciones penales, Defensa y soberanía. En términos sustantivos, registra: Noticias Caracol registra una propuesta punitiva extrema de Santiago Botero. | Botero combina castigo duro con fortalecimiento operativo de la Fuerza Pública..",Noticias Caracol registra una propuesta punitiva extrema de Santiago Botero. | Botero combina castigo duro con fortalecimiento operativo de la Fuerza Pública.,"La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.",Noticias Caracol registra una propuesta punitiva extrema de Santiago Botero.,trazable_con_cautela,src-20260418-santiago-caracol,claim-20260418-santiago-pena-muerte|claim-20260418-santiago-fuerza-publica|src-20260418-santiago-caracol-claim-1|src-20260418-santiago-caracol-claim-2
source-analysis-src-20260418-sergio-profile,src-20260418-sergio-profile,sergio-fajardo,trayectoria-publica|educacion,"La fuente RTVC Noticias aporta evidencia sobre Trayectoria pública, Educación. En términos sustantivos, registra: Exalcalde de Medellín y exgobernador de Antioquia; insiste en educación y transparencia..",Exalcalde de Medellín y exgobernador de Antioquia; insiste en educación y transparencia.,"La fuente aporta contexto público, pero no deja una señal ideológica fuerte por sí sola.",Exalcalde de Medellín y exgobernador de Antioquia; insiste en educación y transparencia.,trazable_con_cautela,src-20260418-sergio-profile,claim-20260418-sergio-bio|src-20260418-sergio-profile-claim-1
